Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Early-demographic dividend,17.20474438,18.10897259,19.05108097,20.40931856,22.0812701,23.51450464,24.96204337,26.46939743,27.97726346,29.48488353,31.00175966,32.53241412,34.06822713,35.61677718,37.18065605,38.74569316,40.31393274,41.70247178,43.24253351,44.75234666,46.24858905,,
East Asia & Pacific,21.11507326,21.53849655,22.18617038,23.70281006,25.33376542,27.0814956,28.91626202,30.84376594,32.84512248,34.91786715,37.06691711,39.2829621,41.56121005,43.90051086,46.29904165,48.75223893,51.25724761,53.80613232,56.39855812,59.00498121,60.14562004,,
Europe & Central Asia (excluding high income),52.48261878,52.68384727,53.05042251,53.41409361,53.9147056,54.41820092,54.88367541,55.37887606,55.86564004,56.7379621,57.64448433,58.55376294,59.46676223,60.38072959,61.28737046,62.14054708,62.96977532,63.81178954,64.61961263,65.09648971,66.76515798,,
Europe & Central Asia,61.47180238,61.2987635,61.53244873,61.7676392,62.12889082,62.49854822,62.83259979,63.2463557,63.66241822,64.18144629,64.6966835,65.2063861,65.69942836,66.18208031,66.65462433,67.15308695,67.64853207,68.13036769,68.59409601,69.04250857,69.83739982,,
Ecuador,39.93561,39.98472033,40.03130024,40.07813763,40.11987998,40.2882852,40.45062481,40.60666183,40.75657715,40.90037094,41.03788243,41.17477529,41.3104759,41.44122458,41.56719676,41.68797239,41.80394258,41.81090851,41.75378947,41.69898671,41.63194052,,
"Egypt, Arab Rep.",54.15660902,54.11881407,54.08015897,54.04065235,54.76756069,55.49700483,56.22897267,56.95679985,57.68364511,58.41385745,59.14712972,59.88376233,60.61884806,61.35765668,62.09992565,62.86468116,63.7198589,64.58175593,65.45013463,66.32486076,67.06102993,,
Euro area,87.87291974,87.90621595,87.94873542,87.98790102,88.152973,88.34911158,88.55381676,88.762314,88.97751203,89.18962879,89.40367746,89.59751631,89.830031,90.07123317,90.31224932,90.55751796,90.80734526,91.00350532,91.15555298,91.22362474,91.29885215,,
Spain,94.01193269,93.8276238,93.64321295,93.4587513,93.38160524,93.57243618,93.76319903,93.95387551,94.14448165,94.33500698,94.52545982,94.71583292,94.90613154,95.09634501,95.28644895,95.47630733,95.66609688,95.6660506,95.66577751,95.66549892,95.66521712,,
Estonia,92.56735056,92.57380161,92.57887271,92.54579523,92.57174273,92.5955736,92.61824286,92.63976233,92.66013164,92.67935265,92.69742932,92.71435562,92.73001559,92.74418092,92.7569146,92.82388663,92.88954827,92.95386558,93.00670163,93.06132184,93.06072861,,
Ethiopia,2.116906837,2.377647105,2.627151311,2.876350728,3.118540241,3.355939326,3.588700651,3.818593969,4.063969302,4.305104889,4.5424233,4.775775962,5.005476723,5.224650007,5.439999707,5.654994616,5.866489062,6.074356692,6.279053616,6.480693308,6.679274945,,
European Union,85.18177474,83.58345168,83.73386309,83.85600514,84.17079134,84.51125895,84.89144152,85.29231162,85.70871137,86.13813061,86.57176204,86.98398358,87.43185307,87.88173667,88.32200102,88.77371481,89.2178626,89.59440801,89.89938364,90.11302659,90.24521219,,
Finland,79.98952889,80.24642653,80.5033269,80.76022722,81.01712754,81.27402788,81.53092822,81.78782858,82.04472889,82.3016292,82.5585174,82.81539387,83.07227101,83.32916207,83.58606658,83.84297108,84.09987555,84.09987264,84.09986931,84.09986558,84.09986144,,
France,79.23592055,79.23755841,79.23920255,79.19956145,79.15987944,79.12016002,79.08039447,79.04058726,79.00072758,78.96081965,78.92085652,78.88084305,78.84078069,78.80066533,78.76050083,78.7202854,78.68002145,78.639709,78.59934805,78.58911692,78.5884767,,
United Kingdom,97.7410102,97.74638486,97.76231207,97.77801886,97.79362306,97.8090057,97.82428066,97.8502224,97.87606129,97.90168872,97.92715808,97.95247102,97.97774099,97.99806,98.01222443,98.02628399,98.04028692,98.05412839,98.06786201,98.08153743,98.09505713,,
Georgia,47.90429214,47.28735939,46.59432981,45.84220307,45.13658454,44.42891811,43.71899995,43.0068027,42.29247153,41.57598549,40.85714085,40.13608668,39.41262002,38.6870698,37.95905461,37.22872931,36.49444378,35.75669287,35.01946185,34.72227577,34.4187272,,
Ghana,4.365501653,4.427019443,4.885172662,5.346610486,5.811130817,6.278186159,6.747471971,7.218545628,7.69099721,8.164356208,8.638307608,9.112390354,9.586205656,10.05936669,10.53152455,11.00233495,11.47145828,11.93857292,12.4033639,12.86554531,13.32480098,,
"Gambia, The",43.21158262,41.91989725,40.65349407,39.4892798,38.37626929,37.7868821,37.20198634,36.6206892,36.04195184,35.46547486,34.88985408,34.31438933,33.73794676,33.15989799,32.57912315,31.99442662,31.40455622,30.8082034,30.20407064,29.5908716,28.96715938,,
Guinea-Bissau,3.26292596,3.631962583,4.004654451,4.380860074,4.760688654,5.167166109,5.58080601,6.00148721,6.429392988,6.864368532,7.306968688,7.757049724,8.214834018,8.680282118,9.153628548,9.63497749,10.1242777,10.62161617,11.12725323,11.6411223,12.16331268,,
Greece,77.26847344,77.87126339,78.52453997,79.18024195,79.83882498,80.49946826,81.16238664,81.82778827,82.49564615,83.16533611,83.83710579,84.54404272,85.3791089,86.21128004,87.04057237,87.83493406,88.6157321,89.39438524,90.1711824,90.94585502,91.71870529,,
Greenland,85.91056578,85.9105649,85.91056238,85.91055988,85.91055904,85.9105597,85.9105586,85.91055588,86.13351214,86.75118704,87.37089352,87.99264118,88.61642673,89.24225078,89.8701133,90.50001399,91.13195538,91.42666624,91.65793958,91.88920622,91.88920703,,
"Hong Kong SAR, China",86.10844889,86.10844889,86.10844889,86.10844889,86.09747593,86.08650297,86.07553001,86.06455705,86.05358409,86.04261113,86.03163817,86.02066522,86.00969226,85.9987193,85.98774634,85.97677338,85.96580042,85.95482746,85.9438545,85.93288155,85.92190859,,
Honduras,40.04916505,40.75284943,41.42015962,42.06863879,42.69954433,43.24885745,43.77909775,44.29078042,44.78384474,45.25911527,45.71609364,46.15566379,46.57726204,46.98211459,47.36961725,47.74141572,48.1578315,48.5590408,48.9455273,49.31748103,49.67509858,,
Croatia,77.87473815,77.92698976,77.98582524,78.04491845,78.10378257,78.16265687,78.2215456,78.28044247,78.33935053,78.39827327,78.45720647,78.51590818,78.10613114,76.82368176,75.54176099,74.25955209,72.97693078,71.69353866,70.39226157,69.08965145,67.78555485,,
Hungary,63.88115863,63.58014119,63.28747808,62.99622209,64.56171912,66.18057915,67.85382797,69.57845454,71.35379277,73.17910955,75.04872452,76.96630383,78.91964952,80.91432991,82.95392947,85.03813531,86.093358,86.904568,87.72220637,87.75110139,87.7804865,,
India,6.582622414,7.847825482,9.168575044,11.04516035,13.37748103,15.3211176,17.27038835,19.28393109,21.30680318,23.3386407,25.37938816,27.42892062,29.48719818,31.55352208,33.62723216,35.70761814,37.79397393,39.88551213,41.89591302,43.90429017,45.90965899,,
Ireland,53.9202358,55.44309298,56.97816906,58.57256608,60.18642339,61.81638528,63.46257184,65.12448024,66.79925671,68.48680663,70.18702353,71.8998541,73.62523247,75.4535305,77.29145367,79.13883688,80.99589882,82.45330285,82.65620946,82.77712007,82.89898929,,
Iraq,32.89814045,33.4111699,33.92283537,34.43314127,34.94208434,35.41874191,35.89458233,36.36950236,36.8435454,37.43362493,38.02676549,38.6246988,39.22949542,39.84130348,40.46022406,41.08641063,41.7197168,42.36033706,42.88862069,43.1273041,42.87731862,,
Iceland,41.85407095,43.87972331,45.91825072,47.9690222,50.03244966,52.10876373,54.19795186,56.30002491,58.41497792,60.54281939,62.6839614,64.83842538,67.00581901,69.21235616,71.59272112,73.98600849,76.39218888,78.81124984,81.24319906,83.68803443,83.68756132,,
Israel,79.81501087,80.57320446,81.33140721,82.08964173,82.8479182,83.60619892,84.36451618,85.12284793,85.88121395,86.6396076,87.39807077,88.1539945,88.91001016,89.66614967,90.42238955,91.17874112,91.93520069,92.69180272,93.44852172,94.20534806,94.96232762,,
Italy,95.6421941,95.64344875,95.64554881,95.64804388,95.65490632,95.66174191,95.66858102,95.67542043,95.68226338,95.68907928,95.69591975,95.70273971,95.71214036,95.72269582,95.73321016,95.74372839,95.75417839,95.76461446,95.77078165,95.77703292,95.78339507,,
Jordan,75.57301436,75.52049492,75.54990942,75.60137592,75.72232655,76.29189586,76.95676665,77.58259172,78.18983639,78.7555666,79.28402184,79.77651924,80.23583486,80.66259802,81.06033197,81.27478999,81.48468365,81.68932227,81.88884508,82.08366975,82.27367941,,
Japan,73.03258582,73.4801356,73.92285411,74.36134337,74.79734312,75.23085406,75.66187689,76.09041232,76.51646106,76.94002381,77.36110128,77.77969418,78.19580321,78.60942908,79.02057249,79.42923417,79.8354148,80.23911509,80.64033577,81.03379461,81.42986093,,
Kyrgyz Republic,85.08256521,85.20174597,85.60937161,86.01392837,86.41517889,86.90391722,87.38300479,87.85391628,88.32241533,88.78837894,89.24915637,89.70460674,90.1545832,90.59930355,91.03862231,91.47252559,91.84632275,92.03138774,92.21204464,92.38867687,92.46858395,,
Kiribati,16.00249395,16.81369079,17.57820289,18.34268662,19.1070514,19.76194639,20.45136685,21.16329409,21.69739363,22.21374831,22.71219897,23.19251245,23.6544549,24.09765465,24.52203802,24.92736807,25.31323293,25.67971129,26.02700336,26.35527408,26.66472692,,
"Korea, Rep.",75.6081918,76.89938954,78.1933061,79.4899415,80.78929572,82.09136877,83.39616064,84.70316596,86.00866292,87.31687029,88.62778804,89.94141619,91.25775473,92.57680367,93.898563,95.22303273,96.51616206,97.73700976,98.95665167,99.94226257,99.9374936,,
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Latin America & Caribbean (excluding high income),29.48094433,29.85340134,30.22432924,31.00278444,31.79263148,32.59265965,33.40513527,34.23678698,35.07558672,35.9254919,36.77663656,37.65407826,38.74493583,39.85454136,40.9829317,42.12889134,43.29044991,43.79980172,45.05585683,46.33302109,47.56111539,,
Lao PDR,21.69555916,24.34160523,26.71027824,29.05318457,31.36955339,33.61740835,35.75048947,37.86350956,39.95710857,42.03053264,44.08422958,46.11825581,48.13280447,50.1273912,52.10254845,54.0635676,56.0063144,57.93024836,59.83519266,61.36144639,61.38126571,,
Lebanon,9.425466024,9.425466024,9.425466024,9.84741854,10.26937106,10.69132357,11.11327609,11.5352286,11.95718112,12.37913363,12.80108615,13.22303866,13.64499118,14.06694369,14.48889621,14.91084872,15.33280124,15.75475375,16.17670627,16.53432546,16.28275164,,
Libya,24.8318922,24.63226793,24.43264366,24.23301938,24.03339511,23.83377084,23.63414657,23.4345223,23.23489803,23.03527376,22.83564949,22.63602522,22.43640095,22.23677667,22.0371524,21.83752813,21.61605785,21.61655428,21.61704948,21.61704948,21.61704948,,
Latin America & Caribbean,15.18487882,15.61494824,16.03987817,16.8083294,17.6282319,18.38357252,19.21145282,20.05463738,20.90740071,21.77409433,22.65566014,23.55396123,24.60556698,25.67567546,26.76649846,27.8792493,29.01503241,30.31249114,31.55379947,32.81450328,34.08215539,,
Least developed countries: UN classification,17.36018343,17.94884649,18.47603078,18.98059457,19.47105459,19.95517466,20.41762209,20.85233157,21.29876884,21.69660507,22.10149424,22.4935895,22.87319714,23.247341,23.6151367,23.98979432,24.38942904,24.78563707,25.17711794,25.56074116,25.87362138,,
Liechtenstein,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,,
Lesotho,6.956036538,9.24941769,11.5308802,13.75899304,15.9604033,18.12954316,20.27141358,22.38246425,24.46811831,26.52821508,28.56272937,30.57155201,32.55780071,34.52124304,36.46185622,38.37956927,40.27448781,42.14656281,43.99522997,45.82040047,47.62168823,,
Late-demographic dividend,22.76048054,23.42178061,24.17962103,25.67617284,27.30446295,29.0441008,30.89884512,32.86008338,34.92132816,37.07436804,39.30459682,41.59819565,44.01175817,46.49963462,49.05992822,51.70059187,54.41256459,57.19113336,60.00889809,62.60963185,64.03504289,,
Lithuania,79.53671188,79.99395432,80.44671074,80.90087115,81.35643179,81.82996477,82.32002187,82.80898258,83.2968505,83.77004563,84.23002089,85.51934704,86.84890821,88.19050536,89.5537888,90.92168865,92.29599606,93.35363524,93.89547291,93.91542258,93.93707198,,
Luxembourg,90.88224416,90.92752336,90.96029066,90.99222688,91.0227323,91.05201612,91.08059966,91.10840338,91.13557406,91.77678176,92.41794701,93.05898132,93.69938139,94.33895392,94.97834957,95.61716798,96.25536822,96.72498505,96.74564966,96.76533819,96.78404532,,
Latvia,52.41175179,52.41175179,52.41175179,52.35403559,52.2481114,52.14225955,54.03975499,55.95503738,57.88792435,59.83809642,61.80530966,63.78957804,65.7907638,67.80872487,69.84332806,72.04224815,74.26633217,76.5155682,78.78852105,81.08653606,83.40960117,,
"Macao SAR, China",54.7222162,54.7222162,54.7222162,54.7222162,54.7222162,54.7222162,54.7222162,54.7222162,54.7222162,54.7222162,55.79875247,56.87528875,57.95182502,59.02836129,60.10489756,61.18143383,62.2579701,63.33450637,64.41104264,65.48757892,66.56411519,,
